comment,Predicted_sent,sentiment
"Миксер купила 1 Октября 2020г. Зефир,безе, сливки,бисквит,крем для капкейков и тортов все сбивает и все получается. Миксер нравится, устраивает меня.В неделю работает 2раза.Но, 31дек начал тупить. Включаю на 1скорость,а он работает как на 6 скорости,а 6 скорость вообще не работает. Выключаю его из сети, включаю обратно,а он бац и нормально начнёт работать, а бывает с раза 3 работает как положено. И так на протяжении 3дней уже. На этой неделе понесу его обратно. А,так Миксер хороший, брала за 6200 цена нормальная для него.",Negative,"Миксер купила 1 Октября 2020г. Зефир,безе, сливки,бисквит,крем для капкейков и тортов все сбивает и все получается. Миксер нравится, устраивает меня.В неделю работает 2раза.Но, 31дек начал тупить. Включаю на 1скорость,а он работает как на 6 скорости,а 6 скорость вообще не работает. Выключаю его из сети, включаю обратно,а он бац и нормально начнёт работать, а бывает с раза 3 работает как положено. И так на протяжении 3дней уже. На этой неделе понесу его обратно. А,так Миксер хороший, брала за 6200 цена нормальная для него."
"Не соответствует указанной мощности. В описании товара зарекомендована мощность 1600ВТ. По факту я думаю не больше 600 Вт. 
У меня до этого был миксер другой фирмы, с мощностью 1000 ВТ. Работал в 2 раза быстрее и мощнее.
 При замешивании теста миксер с трудом работал, был запах пластмассы.
Прошу одобрить возврат. Т.к. работаю кондитером и миксер нужен для постоянного использования и нужен достаточно мощный.",Negative,"Не соответствует указанной мощности. В описании товара зарекомендована мощность 1600ВТ. По факту я думаю не больше 600 Вт. 
У меня до этого был миксер другой фирмы, с мощностью 1000 ВТ. Работал в 2 раза быстрее и мощнее.
 При замешивании теста миксер с трудом работал, был запах пластмассы.
Прошу одобрить возврат. Т.к. работаю кондитером и миксер нужен для постоянного использования и нужен достаточно мощный."
Сегодня получила товар. Чему очень рада. Ещё не пользовались. Огромная благодарность продавцу за быструю доставку.,Negative,Сегодня получила товар. Чему очень рада. Ещё не пользовались. Огромная благодарность продавцу за быструю доставку.
"Ждала этот миксер с конца октября, сейчас как появился успела заказать последний. Почитала последнии отзывы о том, что приходит другая модель, все же рискнула, а вдруг мне повезёт и повезло. Пришло мой долгожданный, радости нет придела. Упакован правда не очень, видно что коробку много раз открывали и зпклеивпли, на сам миксер идеален, ни царапин, ни сколов, в центре выдачи включили-работает. Цвет правда не фиолетовый как указано, а больше темно синий перламутровый. Как в работе ещё не знаю. Попробую-дополню отзыв.",Negative,"Ждала этот миксер с конца октября, сейчас как появился успела заказать последний. Почитала последнии отзывы о том, что приходит другая модель, все же рискнула, а вдруг мне повезёт и повезло. Пришло мой долгожданный, радости нет придела. Упакован правда не очень, видно что коробку много раз открывали и зпклеивпли, на сам миксер идеален, ни царапин, ни сколов, в центре выдачи включили-работает. Цвет правда не фиолетовый как указано, а больше темно синий перламутровый. Как в работе ещё не знаю. Попробую-дополню отзыв."
"Миксер  красивый, вчера получили, ещё ничего не взбивали. Печати в паспорте нет, получается в случае неисправности гарантии не будет? За это снимаю звезду ",Negative,"Миксер  красивый, вчера получили, ещё ничего не взбивали. Печати в паспорте нет, получается в случае неисправности гарантии не будет? За это снимаю звезду "
"Приехал мой долгожданный миксер)))очень красивый ,тяжёлый и большой )еле нашла полку на кухне куда бы он вошёл...10мин и белок взбит для безе) с тестом на манты ему тяжеловато было начал дёргаться домешивала руками... не стала рисковать испугалась...надеюсь будет служить долго)",Negative,"Приехал мой долгожданный миксер)))очень красивый ,тяжёлый и большой )еле нашла полку на кухне куда бы он вошёл...10мин и белок взбит для безе) с тестом на манты ему тяжеловато было начал дёргаться домешивала руками... не стала рисковать испугалась...надеюсь будет служить долго)"
Он огромный...большого восторга при эксплуатации не испытала...,Negative,Он огромный...большого восторга при эксплуатации не испытала...
"Шла 8я минута взбивания яиц с сахаром на макс мощности.. я в шоке. Что я купила?? О шифоновом бисквите можно забыть теперь. Он не взбивает вообще. От слова совсем. Или надо взбивать минут сорок, чтобы взбить яйца с сахаром в пышную пену?  Зато шума от него, как от самолёта. Думала, что звук оправдает его старания. Глушняк полный. Шок, разочарование.. что с ним теперь делать?",Negative,"Шла 8я минута взбивания яиц с сахаром на макс мощности.. я в шоке. Что я купила?? О шифоновом бисквите можно забыть теперь. Он не взбивает вообще. От слова совсем. Или надо взбивать минут сорок, чтобы взбить яйца с сахаром в пышную пену?  Зато шума от него, как от самолёта. Думала, что звук оправдает его старания. Глушняк полный. Шок, разочарование.. что с ним теперь делать?"
"Крем тоже этим миксером делала: 400 мл сливок для взбивания Пэтмол (холодных) и полстакана сахара, взбивать 7 мин на 5-й скорости. Чашу перед взбиванием сливок охладить, окатив холодной водой, и вытереть насухо. При сборке торта раскладывала на крем кусочки киви и консервированных персиков, бисквит пропитывала соком от персиков.",Negative,"Крем тоже этим миксером делала: 400 мл сливок для взбивания Пэтмол (холодных) и полстакана сахара, взбивать 7 мин на 5-й скорости. Чашу перед взбиванием сливок охладить, окатив холодной водой, и вытереть насухо. При сборке торта раскладывала на крем кусочки киви и консервированных персиков, бисквит пропитывала соком от персиков."
"Делали бисквит, справился на раз! Что-то погуще, потверже пока не знаем. Насадки металлические, управление примитивное, что в плюс.",Negative,"Делали бисквит, справился на раз! Что-то погуще, потверже пока не знаем. Насадки металлические, управление примитивное, что в плюс."
"Здравствуйте, не покупайте эту вещь. Удалось использовать только раза 3...и всё, он неработает. Назад товар не приняли, надо обращаться в контактный сервис производителя, а такового, к сожалению у нас в городе нет. Зря потраченные деньги и куча нервов",Negative,"Здравствуйте, не покупайте эту вещь. Удалось использовать только раза 3...и всё, он неработает. Назад товар не приняли, надо обращаться в контактный сервис производителя, а такового, к сожалению у нас в городе нет. Зря потраченные деньги и куча нервов"
"Здравствуйте. Купила в декабре, все устраивало, а сегодня он сломался, включаю на первую скорость, а он работает пару секунд как на 6 и выключается. Что делать. В моем городе нет сервисного центра старвин.",Negative,"Здравствуйте. Купила в декабре, все устраивало, а сегодня он сломался, включаю на первую скорость, а он работает пару секунд как на 6 и выключается. Что делать. В моем городе нет сервисного центра старвин."
"Не берите этот миксер, выбросите деньги на ветер, перестал работать и не включается, лучше взять в нормальном магазине с гарантией и быть уверенным в товаре, проблему с этим не решили, якобы обращайтесь сами в серверный центр, а вы на что извините? Люди пожалейте свои деньги и не берите эту ерунду !!!!",Negative,"Не берите этот миксер, выбросите деньги на ветер, перестал работать и не включается, лучше взять в нормальном магазине с гарантией и быть уверенным в товаре, проблему с этим не решили, якобы обращайтесь сами в серверный центр, а вы на что извините? Люди пожалейте свои деньги и не берите эту ерунду !!!!"
"Миксер для больших объемов! Домашний майонез на стандартную порцию не сделать, маленькую порцию не взбить. Чаша тонкая. В общем, кто хочет Кенвуд, а купил в итоге это- будут разочарованы)) О покупке жалею.",Negative,"Миксер для больших объемов! Домашний майонез на стандартную порцию не сделать, маленькую порцию не взбить. Чаша тонкая. В общем, кто хочет Кенвуд, а купил в итоге это- будут разочарованы)) О покупке жалею."
"Прислали не полностью укомплектованый, не хватало одной насадки. Возврат. Безумно обидно. Пришлось заказать с озона, а то если повторно тут, то тоже самое придёт. Написала в Обратную связь, уже 3 день, никто мне не отписался. А также грубили на пункте выдаче, везде разочарование с этим миксером.",Negative,"Прислали не полностью укомплектованый, не хватало одной насадки. Возврат. Безумно обидно. Пришлось заказать с озона, а то если повторно тут, то тоже самое придёт. Написала в Обратную связь, уже 3 день, никто мне не отписался. А также грубили на пункте выдаче, везде разочарование с этим миксером."
"Здравствуйте! уважаемый магазан -заказала миксер ,оплатила перед вскрытием после вскрытия оказалось что вложен совсем не тот товар -фото прилагаю 1- фото тот товар который заказали ,2 -фото то что нам пришло (написали притензию о возврате по не соотвецтвию товара ) вопрос -почему снят процент выкупа ?",Negative,"Здравствуйте! уважаемый магазан -заказала миксер ,оплатила перед вскрытием после вскрытия оказалось что вложен совсем не тот товар -фото прилагаю 1- фото тот товар который заказали ,2 -фото то что нам пришло (написали притензию о возврате по не соотвецтвию товара ) вопрос -почему снят процент выкупа ?"
"Нет крючка в комплекте, пришлось вернуть, очень жаль",Negative,"Нет крючка в комплекте, пришлось вернуть, очень жаль"
